MARCA,MODELO,VERS_SISTEMA
Apple,iPhone 13 mini,16.6.1
Apple,iPhone 13 mini,18.4
Apple,iPhone 13 mini,16.2
Apple,iPhone 13 mini,18.0.1
Apple,iPhone 13 mini,17.7
Apple,iPhone 13 mini,16.1.2
Apple,iPhone 13 mini,18.1
Apple,iPhone 13 mini,16.1
Apple,iPhone 13 mini,18.3.2
Apple,iPhone 13 mini,17.7.1
Apple,iPhone 13 mini,18.3.1
Apple,iPhone 13 mini,16.5.1
Apple,iPhone 13 mini,16.3.1
Apple,iPhone 13 mini,17.4
Apple,iPhone 13 mini,17.3.1
Apple,iPhone 13 mini,17.5
Apple,iPhone 13 mini,18
Apple,iPhone 13 mini,18.3
Apple,iPhone 13 mini,16.3
Apple,iPhone 13 mini,17.2.1
Apple,iPhone 13 mini,18.2.1
Apple,iPhone 13 mini,17.6.1
Apple,iPhone 13 mini,17.4.1
Apple,iPhone 14,16.1
Apple,iPhone 14,16.0.2
Apple,iPhone 14,18.3
Apple,iPhone 14,17.1.2
Apple,iPhone 14,18.4
Apple,iPhone 14,16.5.1
Apple,iPhone 14,18.1
Apple,iPhone 14,18
Apple,iPhone 14,18.3.1
Apple,iPhone 14,18.3.2
Apple,iPhone 14,17.4.1
Apple,iPhone 14,18.0.1
Apple,iPhone 14,18.1.1
Apple,iPhone 14,17.6.1
Apple,iPhone 14,17.5.1
Apple,iPhone 14,18.2
Apple,iPhone 14 Plus,18.2
Apple,iPhone 14 Plus,17.5.1
Apple,iPhone 14 Plus,18.2.1
Apple,iPhone 14 Plus,18.1.1
Apple,iPhone 14 Plus,17.6.1
Apple,iPhone 14 Plus,18.4
Apple,iPhone 14 Plus,18.3.2
Apple,iPhone 14 Plus,18.3.1
Apple,iPhone 14 Pro,18.2.1
Apple,iPhone 14 Pro,17.6.1
Apple,iPhone 14 Pro,18
Apple,iPhone 14 Pro,18.2
Apple,iPhone 14 Pro,17.5.1
Apple,iPhone 14 Pro,18.3
Apple,iPhone 14 Pro,18.4
Apple,iPhone 14 Pro,16.6.1
Apple,iPhone 14 Pro,18.3.2
Apple,iPhone 14 Pro,16.3.1
Apple,iPhone 14 Pro,18.3.1
Apple,iPhone 14 Pro,18.1
Apple,iPhone 14 Pro,16.5.1
Apple,iPhone 14 Pro,18.1.1
Apple,iPhone 14 Pro,16.2
Apple,iPhone 14 Pro,18.0.1
Apple,iPhone 14 Pro Max,18.0.1
Apple,iPhone 14 Pro Max,18.2.1
Apple,iPhone 14 Pro Max,18.3
Apple,iPhone 14 Pro Max,18.1
Apple,iPhone 14 Pro Max,18.4
Apple,iPhone 14 Pro Max,18.3.2
Apple,iPhone 14 Pro Max,18.2
Apple,iPhone 14 Pro Max,17.0.1
Apple,iPhone 14 Pro Max,18
Apple,iPhone 14 Pro Max,17.7.2
Apple,iPhone 14 Pro Max,18.1.1
Apple,iPhone 14 Pro Max,17.6.1
Apple,iPhone 14 Pro Max,17.5.1
Apple,iPhone 14 Pro Max,18.3.1
Apple,iPhone 14 Pro Max,16.4.1
Apple,iPhone 15,18.1
Apple,iPhone 15,18.3.2
Apple,iPhone 15,18.0.1
Apple,iPhone 15,17.6
Apple,iPhone 15,18.3.1
Apple,iPhone 15,18.2.1
